day	wk1	wk2	wk3	wk4	wk5	wk6	cumm	covid	country
40	0	0	1	0	0	0	4	0	8
41	0	0	1	0	0	0	4	0	8
42	0	0	1	0	0	0	4	1	8
43	0	0	1	0	0	0	5	0	8
44	0	0	0	1	0	0	5	1	8
45	0	0	0	1	0	0	6	0	8
46	0	0	0	1	0	0	6	0	8
47	0	0	0	1	0	0	6	0	8
48	0	0	0	1	0	0	6	2	8
49	0	0	0	1	0	0	8	0	8
50	0	0	0	1	0	0	8	0	8
51	0	0	0	0	1	0	8	1	8
52	0	0	0	0	1	0	9	0	8
53	0	0	0	0	1	0	9	0	8
54	0	0	0	0	1	0	9	0	8
55	0	0	0	0	1	0	9	1	8
56	0	0	0	0	1	0	10	1	8
57	0	0	0	0	1	0	11	0	8
58	0	0	0	0	0	1	11	0	8
59	0	0	0	0	0	1	11	0	8
60	0	0	0	0	0	1	11	0	8
61	0	0	0	0	0	1	11	0	8
62	0	0	0	0	0	1	11	1	8
1	1	0	0	0	0	0	0	0	9
2	1	0	0	0	0	0	0	0	9
3	1	0	0	0	0	0	0	0	9
4	1	0	0	0	0	0	0	0	9
5	1	0	0	0	0	0	0	0	9
6	1	0	0	0	0	0	0	0	9
7	1	0	0	0	0	0	0	0	9
8	1	0	0	0	0	0	0	0	9
9	1	0	0	0	0	0	0	0	9
10	1	0	0	0	0	0	0	0	9
11	1	0	0	0	0	0	0	0	9
12	1	0	0	0	0	0	0	0	9
13	1	0	0	0	0	0	0	0	9
14	1	0	0	0	0	0	0	0	9
15	1	0	0	0	0	0	0	0	9
16	1	0	0	0	0	0	0	0	9
17	1	0	0	0	0	0	0	0	9
18	1	0	0	0	0	0	0	0	9
19	1	0	0	0	0	0	0	0	9
20	1	0	0	0	0	0	0	0	9
21	1	0	0	0	0	0	0	0	9
22	1	0	0	0	0	0	0	0	9
23	1	0	0	0	0	0	0	0	9
24	1	0	0	0	0	0	0	0	9
25	1	0	0	0	0	0	0	0	9
26	1	0	0	0	0	0	0	0	9
27	1	0	0	0	0	0	0	0	9
